x,y,filename
25.211893,-0.21291529,"mp-758188_[0, 0, 1].png"
41.70194,30.245785,"mp-27193_[0, 0, 1].png"
20.134815,28.730602,"mp-582357_[0, 0, 1].png"
-49.682617,-15.097303,"mp-24585_[0, 0, 1].png"
17.375765,-8.238195,"mp-2712941_[0, 0, 1].png"
33.608692,-27.567598,"mp-1182812_[0, 0, 1].png"
-2.9837632,-52.79532,"mp-766129_[0, 0, 1].png"
-19.545296,-13.252978,"mp-27042_[0, 0, 1].png"
-55.998047,-8.080907,"mp-1187017_[0, 0, 1].png"
-64.29124,-4.782411,"mp-1017322_[0, 0, 1].png"
-47.91736,-18.59066,"mp-560441_[0, 0, 1].png"
-31.726906,17.160387,"mp-5152_[0, 0, 1].png"
51.282135,-9.165784,"mp-1232371_[0, 0, 1].png"
40.311035,-16.613417,"mp-1223621_[0, 0, 1].png"
-44.280888,-22.15164,"mp-672677_[0, 0, 1].png"
-26.443096,32.9421,"mp-2713319_[0, 0, 1].png"
10.933079,-52.294945,"mp-757838_[0, 0, 1].png"
-21.374956,53.80939,"mp-1172857_[0, 0, 1].png"
57.060333,-6.833673,"mp-705861_[0, 0, 1].png"
0.5245082,-0.3008226,"mp-1222351_[0, 0, 1].png"
9.838368,47.016235,"mp-625094_[0, 0, 1].png"
-21.475348,-7.3451433,"mp-2714581_[0, 0, 1].png"
23.539743,11.919599,"mp-561224_[0, 0, 1].png"
-38.413822,4.359001,"mp-1198198_[0, 0, 1].png"
-18.928389,-9.49761,"mp-677140_[0, 0, 1].png"
-43.230824,22.872482,"mp-12779_[0, 0, 1].png"
49.31022,32.854023,"mp-1225170_[0, 0, 1].png"
-15.731688,-0.92961496,"mp-21298_[0, 0, 1].png"
-32.86596,-0.8617912,"mp-753797_[0, 0, 1].png"
-34.486027,25.958775,"mp-29222_[0, 0, 1].png"
10.083955,-59.373905,"mp-774797_[0, 0, 1].png"
20.607592,33.168236,"mp-1234246_[0, 0, 1].png"
38.05112,-16.401451,"mp-9537_[0, 0, 1].png"
-33.883823,-39.159847,"mp-2714074_[0, 0, 1].png"
0.2040972,11.658335,"mp-2716099_[0, 0, 1].png"
-13.753965,12.718191,"mp-23655_[0, 0, 1].png"
-8.189224,-10.269324,"mp-1075515_[0, 0, 1].png"
-11.193395,9.654211,"mp-2488_[0, 0, 1].png"
-43.83103,24.979122,"mp-15573_[0, 0, 1].png"
-16.342396,-41.857327,"mp-1200287_[0, 0, 1].png"
-17.145329,-50.401695,"mp-768223_[0, 0, 1].png"
-0.34060997,-16.238625,"mp-31094_[0, 0, 1].png"
-53.351994,-17.944658,"mp-1206392_[0, 0, 1].png"
12.788565,37.464405,"mp-16773_[0, 0, 1].png"
42.348454,-27.015347,"mp-1213348_[0, 0, 1].png"
19.48301,2.6744914,"mp-1188558_[0, 0, 1].png"
0.4744425,-52.429737,"mp-2715121_[0, 0, 1].png"
-47.828598,26.565887,"mp-623837_[0, 0, 1].png"
43.380886,-34.047146,"mp-2716194_[0, 0, 1].png"
5.6790676,-47.401447,"mp-2712608_[0, 0, 1].png"
-4.7660947,16.930424,"mp-1217229_[0, 0, 1].png"
-0.9669853,-19.45046,"mp-2713210_[0, 0, 1].png"
49.657692,-0.7535953,"mp-4236_[0, 0, 1].png"
19.653309,-37.786236,"mp-4228_[0, 0, 1].png"
38.301907,40.35713,"mp-1013702_[0, 0, 1].png"
9.064965,-53.151703,"mp-801707_[0, 0, 1].png"
-3.6395824,21.849785,"mp-1075589_[0, 0, 1].png"
